,Car,Battery Type,Battery Capacity (Usable),Battery Capacity (Gross),Units
0,Aspark OWL,Lithium-ion,64.0,69.0,kWh
1,Audi e-tron GT,Lithium-ion,83.7,93.4,kWh
2,Audi Q4 e-tron,Lithium-ion,76.6,82.0,kWh
3,Audi Q8 e-tron,Lithium-ion,106.0,114.0,kWh
4,BMW i4,Lithium-ion,81.5,83.9,kWh
5,BMW i7,Lithium-ion,106.0,101.7,kWh
6,BMW iX,Lithium-ion,76.6,71.0,kWh
7,BMW iX1,Lithium-ion,64.7,66.4,kWh
8,BMW iX3,Lithium-ion,74.0,80.0,kWh
9,BrightDrop Zevo,Lithium-ion,160.0,165.0,kWh
10,Cadillac Lyriq,Lithium-ion,100.4,102.0,kWh
11,Chevrolet Bolt EUV,Lithium-ion,65.0,68.0,kWh
12,Chevrolet Bolt EV,Lithium-ion,65.0,68.0,kWh
13,Cupra Born,Lithium-ion,58.0,62.0,kWh
14,DS 3 Crossback E-Tense,Lithium-ion,45.0,50.0,kWh
15,Fiat New 500,Lithium-ion,21.3,23.8,kWh
16,Fisker Ocean,Lithium-ion,75.0,80.0,kWh
17,Ford E-Transit,Lithium-ion,68.0,70.0,kWh
18,Ford F-150 Lightning,Lithium-ion,98.0,108.0,kWh
19,Ford Mustang Mach-E,Lithium-ion,70.0,75.7,kWh
20,Genesis Electrified G80,Lithium-ion,82.0,87.2,kWh
21,Genesis Electrified GV70,Lithium-ion,72.6,77.4,kWh
22,Genesis GV60,Lithium-ion,72.6,77.4,kWh
23,GMC Hummer EV,Lithium-ion,212.0,246.0,kWh
24,Honda e,Lithium-ion,28.6,35.5,kWh
25,Hyundai Ioniq 5,Lithium-ion,54.0,58.0,kWh
26,Hyundai Ioniq 6,Lithium-ion,54.0,58.0,kWh
27,Hyundai Kona Electric,Lithium-ion,39.2,42.0,kWh
28,Jaguar I-Pace,Lithium-ion,84.7,90.0,kWh
29,Kia EV6,Lithium-ion,54.0,58.0,kWh
30,Kia Niro EV-e-Niro,Lithium-ion,64.8,69.0,kWh
31,Kia Soul EV,Lithium-ion,39.2,42.0,kWh
32,Lexus RZ,Lithium-ion,68.0,71.4,kWh
33,Lexus UX 300e,Lithium-ion,46.0,54.3,kWh
34,Lightyear 0,Lithium-ion,60.0,63.0,kWh
35,Lordstown Endurance,Lithium-ion,109.0,104.0,kWh
36,Lotus Eletre,Lithium-ion,108.0,112.0,kWh
37,Lotus Evija,Lithium-ion,70.0,75.0,kWh
38,Lucid Air,Lithium-ion,84.0,88.0,kWh
39,Mazda MX-30,Lithium-ion,30.0,35.5,kWh
40,Mercedes-Benz EQA,Lithium-ion,66.5,78.0,kWh
41,Mercedes-Benz EQB,Lithium-ion,66.5,70.0,kWh
42,Mercedes-Benz EQC,Lithium-ion,80.0,86.0,kWh
43,Mercedes-Benz EQE,Lithium-ion,89.0,96.0,kWh
44,Mercedes-Benz EQS,Lithium-ion,90.6,96.0,kWh
45,Mercedes-Benz EQS SUV,Lithium-ion,108.0,115.0,kWh
46,Mercedes-Benz EQV,Lithium-ion,90.0,100.0,kWh
47,Mini Electric-Cooper SE,Lithium-ion,28.9,32.6,kWh
48,Nissan Ariya,Lithium-ion,63.0,65.0,kWh
49,Nissan e-NV200,Lithium-ion,36.0,40.0,kWh
50,Nissan Leaf,Lithium-ion,37.0,40.0,kWh
51,Pininfarina Battista,Lithium-ion,120.0,130.0,kWh
52,Polestar 2,Lithium-ion,60.0,64.0,kWh
53,Porsche Taycan,Lithium-ion,71.0,79.2,kWh
54,Rimac Nevera,Lithium-ion,120.0,130.0,kWh
55,Rivian R1S,Lithium-ion,128.9,135.0,kWh
56,Rivian R1T,Lithium-ion,135.0,125.0,kWh
57,Subaru Solterra,Lithium-ion,65.0,71.4,kWh
58,Tesla Model 3,Lithium-ion,57.5,60.0,kWh
59,Tesla Model S,Lithium-ion,95.0,100.0,kWh
60,Tesla Model X,Lithium-ion,95.0,100.0,kWh
61,Tesla Model Y,Lithium-ion,57.0,60.0,kWh
62,Tesla Roadster,Lithium-ion,210.0,200.0,kWh
63,Toyota bZ4X,Lithium-ion,65.0,71.4,kWh
64,Volkswagen e-Up!,Lithium-ion,32.3,36.8,kWh
65,Volkswagen ID. Buzz,Lithium-ion,77.0,82.0,kWh
66,Volkswagen ID.3,Lithium-ion,58.0,62.0,kWh
67,Volkswagen ID.4,Lithium-ion,52.0,55.0,kWh
68,Volkswagen ID.5,Lithium-ion,77.0,82.0,kWh
69,Volvo C40 Recharge,Lithium-ion,67.0,69.0,kWh
70,Volvo XC40 Recharge,Lithium-ion,67.0,69.0,kWh
